paper_index,paper_id,forum,title,decision,decision_binary,venue,venueid,keyword_score,keyword_hits,review_count_manifest,metareview_count_manifest,decision_note_count_manifest,direct_replies_count_json,openreview_url,pdf_url,pdf_local_exists,markdown_path,review_text_path,json_path,markdown_chars,review_text_chars,markdown_sha256,review_text_sha256,json_sha256,local_json_ok
001,xnUIMz5u2s,xnUIMz5u2s,How FaR Are Large Language Models From Agents with Theory-of-Mind?,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,12,large language model; language model; llm; rag; agent; reasoning; chain-of-thought; prompt; benchmark; evaluation; text; question answering,3,1,1,6,https://openreview.net/forum?id=xnUIMz5u2s,https://openreview.net/pdf/999ec763eaf15b48af4c533009c6a95364a61489.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/001_Reject_How_FaR_Are_Large_Language_Models_From_Agents_with_Theory-of-Mind.md,code/dataset/prism_iclr2024_sample/reviews_txt/001_Reject_How_FaR_Are_Large_Language_Models_From_Agents_with_Theory-of-Mind.md,code/dataset/prism_iclr2024_sample/openreview_json/001_Reject_How_FaR_Are_Large_Language_Models_From_Agents_with_Theory-of-Mind.json,63242,15285,e64906fd3de3aa0610e3b835487bff4c243c45d1ca34a4473dd3e4d31a098c71,99e58b6a115fb61183d1c5d413deab4fcc268e7065714934a2fef5ee90bbaa94,3fa08fd369b1fa798adf3cb6b142163740bb5ed2a359518c7680cf2eef05a7d5,True
002,ITq4ZRUT4a,ITq4ZRUT4a,Davidsonian Scene Graph: Improving Reliability in Fine-grained Evaluation for Text-to-Image Generation,Accept,1,ICLR 2024 poster,ICLR.cc/2024/Conference,11,large language model; language model; llm; rag; prompt; hallucination; benchmark; evaluation; text; question answering; generation,3,1,1,7,https://openreview.net/forum?id=ITq4ZRUT4a,https://openreview.net/pdf/713250bdf458c9b54444d2bf78bfd594a06adead.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/002_Accept_Davidsonian_Scene_Graph_Improving_Reliability_in_Fine-grained_Evaluation_for_Text-to-Image.md,code/dataset/prism_iclr2024_sample/reviews_txt/002_Accept_Davidsonian_Scene_Graph_Improving_Reliability_in_Fine-grained_Evaluation_for_Text-to-Image.md,code/dataset/prism_iclr2024_sample/openreview_json/002_Accept_Davidsonian_Scene_Graph_Improving_Reliability_in_Fine-grained_Evaluation_for_Text-to-Image.json,75851,11038,41872e485f98ebf8b6bcb9201c03bb4b441b8a695e4cdec34029b410dcf148f7,6f99a56534d4c6a5149baf11fec4f1660b3aca369318380d8931721d1d745413,6e9f5e19a3fd69116356fe9677d6faca9794412c52b288cee528c193840d6c16,True
003,EmQSOi1X2f,EmQSOi1X2f,"Self-contradictory Hallucinations of Large Language Models: Evaluation, Detection and Mitigation",Accept,1,ICLR 2024 poster,ICLR.cc/2024/Conference,11,large language model; language model; retrieval; reasoning; prompt; instruction; hallucination; evaluation; text; question answering; generation,3,1,1,7,https://openreview.net/forum?id=EmQSOi1X2f,https://openreview.net/pdf/9087c7d18bb7707f5f8b47046499f922b5c47af3.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/003_Accept_Self-contradictory_Hallucinations_of_Large_Language_Models_Evaluation_Detection_and_Mitiga.md,code/dataset/prism_iclr2024_sample/reviews_txt/003_Accept_Self-contradictory_Hallucinations_of_Large_Language_Models_Evaluation_Detection_and_Mitiga.md,code/dataset/prism_iclr2024_sample/openreview_json/003_Accept_Self-contradictory_Hallucinations_of_Large_Language_Models_Evaluation_Detection_and_Mitiga.json,85061,13926,ead2bb88956078d29a2835e6c52e7be251a8901aef579c44e409ae076d55bc94,afa2a12c429fbee9cfe40158d0fd3b7f0bc6954db47a4684afaed4881a82dd22,bb65beb0ff6179191810e1af77fcdb1efbcc566beff4ba919a805a74f1b8a6e9,True
004,BqHaLnans2,BqHaLnans2,LLM-CXR: Instruction-Finetuned LLM for CXR Image Understanding and Generation,Accept,1,ICLR 2024 poster,ICLR.cc/2024/Conference,11,large language model; language model; llm; rag; reasoning; instruction; alignment; transformer; text; question answering; generation,5,1,1,8,https://openreview.net/forum?id=BqHaLnans2,https://openreview.net/pdf/495e4c5290e90fa4b234772ff8cd9a1d493a60a5.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/004_Accept_LLM-CXR_Instruction-Finetuned_LLM_for_CXR_Image_Understanding_and_Generation.md,code/dataset/prism_iclr2024_sample/reviews_txt/004_Accept_LLM-CXR_Instruction-Finetuned_LLM_for_CXR_Image_Understanding_and_Generation.md,code/dataset/prism_iclr2024_sample/openreview_json/004_Accept_LLM-CXR_Instruction-Finetuned_LLM_for_CXR_Image_Understanding_and_Generation.json,72979,20088,97ca5140def7af71ab9cb9c579802996a75eb703aaf0de5a6d1ae8751dfbe899,63e7f5a1fd7f901ec305b73af9aebc775dc4358f3f10acecb627ad14af1a3eb0,5a2fdff9df42876603cc9b78368334d52820bbfe68b099b6c59325f0cd425b5e,True
005,D0zeqL7Vnz,D0zeqL7Vnz,Prompt Sketching for Large Language Models,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,11,large language model; language model; llm; reasoning; chain-of-thought; prompt; instruction; benchmark; text; question answering; generation,4,1,1,7,https://openreview.net/forum?id=D0zeqL7Vnz,https://openreview.net/pdf/486a0c96d5e7682d42b39e76cc9a96e1024cea19.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/005_Reject_Prompt_Sketching_for_Large_Language_Models.md,code/dataset/prism_iclr2024_sample/reviews_txt/005_Reject_Prompt_Sketching_for_Large_Language_Models.md,code/dataset/prism_iclr2024_sample/openreview_json/005_Reject_Prompt_Sketching_for_Large_Language_Models.json,104101,16454,f1d13db5ae68c6d0678360acddf594e27c8b148b829167ecab7ab57a479a4198,31fd3ce61d401e1a64f2b317788eea64fe430d18ab5b6d83a0d152bc75c838f2,5197d2613cb81683aefb373e66614ef9e1b6e13092620bba1117d0ff6614c234,True
006,gDlsMWost9,gDlsMWost9,Multimodal Chain-of-Thought Reasoning in Language Models,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,11,large language model; language model; llm; rag; reasoning; chain-of-thought; prompt; hallucination; benchmark; text; generation,4,1,1,6,https://openreview.net/forum?id=gDlsMWost9,https://openreview.net/pdf/21b77c8a1d0e8f84d25c6be65736859a17612c29.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/006_Reject_Multimodal_Chain-of-Thought_Reasoning_in_Language_Models.md,code/dataset/prism_iclr2024_sample/reviews_txt/006_Reject_Multimodal_Chain-of-Thought_Reasoning_in_Language_Models.md,code/dataset/prism_iclr2024_sample/openreview_json/006_Reject_Multimodal_Chain-of-Thought_Reasoning_in_Language_Models.json,76987,10428,4518ae2f44569c3b7015294d9bb694ce564dc0c5b678c977ef1838cb37d99b36,6db4e3b4ac39b4f0760e188888ec3d796e4d84e12c5694f5b55cf5ba83dbd17a,41615bf1182a4d2863511d9046236b0a9094e1f6252235fe5181b7154b3e44fc,True
007,cfL8zApofK,cfL8zApofK,LLM-Deliberation: Evaluating LLMs with Interactive Multi-Agent Negotiation Game,Reject,0,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,11,large language model; language model; llm; agent; multi-agent; reasoning; chain-of-thought; prompt; benchmark; evaluation; text,4,1,1,9,https://openreview.net/forum?id=cfL8zApofK,https://openreview.net/pdf/c93aae8145172f3291d943506afb293117b0ed26.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/007_Reject_LLM-Deliberation_Evaluating_LLMs_with_Interactive_Multi-Agent_Negotiation_Game.md,code/dataset/prism_iclr2024_sample/reviews_txt/007_Reject_LLM-Deliberation_Evaluating_LLMs_with_Interactive_Multi-Agent_Negotiation_Game.md,code/dataset/prism_iclr2024_sample/openreview_json/007_Reject_LLM-Deliberation_Evaluating_LLMs_with_Interactive_Multi-Agent_Negotiation_Game.json,81433,14097,d6e2f6d64c8448e5784b2747e93a73c4a291b5442045421b69b26da9d4f38df0,e34a279242b625e4d94d5d1a2ae2fda720a8e69280b34968fda96ba0b017a014,338898ad333596d20f5e8d64dd458093531baef6a4f3eee46c1e364680c0b587,True
008,EhrzQwsV4K,EhrzQwsV4K,L2MAC: Large Language Model Automatic Computer for Extensive Code Generation,Accept,1,ICLR 2024 poster,ICLR.cc/2024/Conference,10,large language model; language model; llm; agent; multi-agent; prompt; instruction; transformer; text; generation,5,1,1,8,https://openreview.net/forum?id=EhrzQwsV4K,https://openreview.net/pdf/85b60ddd90be827351cfe094c4e8fbcd35267ffe.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/008_Accept_L2MAC_Large_Language_Model_Automatic_Computer_for_Extensive_Code_Generation.md,code/dataset/prism_iclr2024_sample/reviews_txt/008_Accept_L2MAC_Large_Language_Model_Automatic_Computer_for_Extensive_Code_Generation.md,code/dataset/prism_iclr2024_sample/openreview_json/008_Accept_L2MAC_Large_Language_Model_Automatic_Computer_for_Extensive_Code_Generation.json,303197,18756,aa6ddf5c9b97c7af60c299f12d86da13c181550018581bc742f3c9fa6c86c0a2,908aed86aa7baac116393f0b0dd70501697414380b36e7ff5e413addb2d7d528,9e4414f84cc96f60eeb5fd6a258052ca72bafdfccda3d6e70d2322ed48b1e098,True
009,B9klVS7Ddk,B9klVS7Ddk,Compressing LLMs: The Truth is Rarely Pure and Never Simple,Accept,1,ICLR 2024 poster,ICLR.cc/2024/Conference,10,large language model; language model; llm; retrieval; reasoning; alignment; benchmark; evaluation; text; generation,4,1,1,6,https://openreview.net/forum?id=B9klVS7Ddk,https://openreview.net/pdf/cc2f613de0889f429642c9f4105fc786dcf6bf7b.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/009_Accept_Compressing_LLMs_The_Truth_is_Rarely_Pure_and_Never_Simple.md,code/dataset/prism_iclr2024_sample/reviews_txt/009_Accept_Compressing_LLMs_The_Truth_is_Rarely_Pure_and_Never_Simple.md,code/dataset/prism_iclr2024_sample/openreview_json/009_Accept_Compressing_LLMs_The_Truth_is_Rarely_Pure_and_Never_Simple.json,69873,8995,2a7c6762d3e9ccc1e46b27da3070b7e7b5589a592458389f209e9cb93164076c,a824eb370c9dc862e2ab1462f9628f011a952a2fd3e91b37144f8208049ec961,d0502017b4b7eef53b90c2da4f48222f35e5a2633171336979871c2214aaa12d,True
010,FQepisCUWu,FQepisCUWu,ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate,Accept,1,ICLR 2024 poster,ICLR.cc/2024/Conference,10,large language model; language model; llm; agent; multi-agent; prompt; alignment; benchmark; evaluation; text,5,1,1,7,https://openreview.net/forum?id=FQepisCUWu,https://openreview.net/pdf/6950b70dde4f8d7425424dce9cc4063f505b2194.pdf,True,code/dataset/prism_iclr2024_sample/md_mineru_v4/010_Accept_ChatEval_Towards_Better_LLM-based_Evaluators_through_Multi-Agent_Debate.md,code/dataset/prism_iclr2024_sample/reviews_txt/010_Accept_ChatEval_Towards_Better_LLM-based_Evaluators_through_Multi-Agent_Debate.md,code/dataset/prism_iclr2024_sample/openreview_json/010_Accept_ChatEval_Towards_Better_LLM-based_Evaluators_through_Multi-Agent_Debate.json,52982,17983,639dd3ce403062ce26b16d36f60ab5e2b5309fe63e5e6f17402b1a8236b91e0e,30c61e87f8e7209effc4edc86af8ea57b5fd9628ac1ab9e6e75ec646f6cc9644,8a1abe004d500c30faa62c5bfb1cab103192f5504e6dc9d1af0aae182f79e87c,True
