paper_id,forum,number,title,decision,venue,venueid,keyword_score,keyword_hits,review_count,metareview_count,decision_note_count,pdf_url,pdf_path,json_path,review_text_path,openreview_url,mineru_v4_md_path,mineru_v4_status
xnUIMz5u2s,xnUIMz5u2s,8449,How FaR Are Large Language Models From Agents with Theory-of-Mind?,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,12,large language model; language model; llm; rag; agent; reasoning; chain-of-thought; prompt; benchmark; evaluation; text; question answering,3,1,1,https://openreview.net/pdf/999ec763eaf15b48af4c533009c6a95364a61489.pdf,code/dataset/prism_iclr2024_sample/pdf/001_Reject_How_FaR_Are_Large_Language_Models_From_Agents_with_Theory-of-Mind.pdf,code/dataset/prism_iclr2024_sample/openreview_json/001_Reject_How_FaR_Are_Large_Language_Models_From_Agents_with_Theory-of-Mind.json,code/dataset/prism_iclr2024_sample/reviews_txt/001_Reject_How_FaR_Are_Large_Language_Models_From_Agents_with_Theory-of-Mind.md,https://openreview.net/forum?id=xnUIMz5u2s,code/dataset/prism_iclr2024_sample/md_mineru_v4/001_Reject_How_FaR_Are_Large_Language_Models_From_Agents_with_Theory-of-Mind.md,done
ITq4ZRUT4a,ITq4ZRUT4a,8654,Davidsonian Scene Graph: Improving Reliability in Fine-grained Evaluation for Text-to-Image Generation,Accept,ICLR 2024 poster,ICLR.cc/2024/Conference,11,large language model; language model; llm; rag; prompt; hallucination; benchmark; evaluation; text; question answering; generation,3,1,1,https://openreview.net/pdf/713250bdf458c9b54444d2bf78bfd594a06adead.pdf,code/dataset/prism_iclr2024_sample/pdf/002_Accept_Davidsonian_Scene_Graph_Improving_Reliability_in_Fine-grained_Evaluation_for_Text-to-Image.pdf,code/dataset/prism_iclr2024_sample/openreview_json/002_Accept_Davidsonian_Scene_Graph_Improving_Reliability_in_Fine-grained_Evaluation_for_Text-to-Image.json,code/dataset/prism_iclr2024_sample/reviews_txt/002_Accept_Davidsonian_Scene_Graph_Improving_Reliability_in_Fine-grained_Evaluation_for_Text-to-Image.md,https://openreview.net/forum?id=ITq4ZRUT4a,code/dataset/prism_iclr2024_sample/md_mineru_v4/002_Accept_Davidsonian_Scene_Graph_Improving_Reliability_in_Fine-grained_Evaluation_for_Text-to-Image.md,done
EmQSOi1X2f,EmQSOi1X2f,9113,"Self-contradictory Hallucinations of Large Language Models: Evaluation, Detection and Mitigation",Accept,ICLR 2024 poster,ICLR.cc/2024/Conference,11,large language model; language model; retrieval; reasoning; prompt; instruction; hallucination; evaluation; text; question answering; generation,3,1,1,https://openreview.net/pdf/9087c7d18bb7707f5f8b47046499f922b5c47af3.pdf,code/dataset/prism_iclr2024_sample/pdf/003_Accept_Self-contradictory_Hallucinations_of_Large_Language_Models_Evaluation_Detection_and_Mitiga.pdf,code/dataset/prism_iclr2024_sample/openreview_json/003_Accept_Self-contradictory_Hallucinations_of_Large_Language_Models_Evaluation_Detection_and_Mitiga.json,code/dataset/prism_iclr2024_sample/reviews_txt/003_Accept_Self-contradictory_Hallucinations_of_Large_Language_Models_Evaluation_Detection_and_Mitiga.md,https://openreview.net/forum?id=EmQSOi1X2f,code/dataset/prism_iclr2024_sample/md_mineru_v4/003_Accept_Self-contradictory_Hallucinations_of_Large_Language_Models_Evaluation_Detection_and_Mitiga.md,done
BqHaLnans2,BqHaLnans2,7413,LLM-CXR: Instruction-Finetuned LLM for CXR Image Understanding and Generation,Accept,ICLR 2024 poster,ICLR.cc/2024/Conference,11,large language model; language model; llm; rag; reasoning; instruction; alignment; transformer; text; question answering; generation,5,1,1,https://openreview.net/pdf/495e4c5290e90fa4b234772ff8cd9a1d493a60a5.pdf,code/dataset/prism_iclr2024_sample/pdf/004_Accept_LLM-CXR_Instruction-Finetuned_LLM_for_CXR_Image_Understanding_and_Generation.pdf,code/dataset/prism_iclr2024_sample/openreview_json/004_Accept_LLM-CXR_Instruction-Finetuned_LLM_for_CXR_Image_Understanding_and_Generation.json,code/dataset/prism_iclr2024_sample/reviews_txt/004_Accept_LLM-CXR_Instruction-Finetuned_LLM_for_CXR_Image_Understanding_and_Generation.md,https://openreview.net/forum?id=BqHaLnans2,code/dataset/prism_iclr2024_sample/md_mineru_v4/004_Accept_LLM-CXR_Instruction-Finetuned_LLM_for_CXR_Image_Understanding_and_Generation.md,done
D0zeqL7Vnz,D0zeqL7Vnz,9320,Prompt Sketching for Large Language Models,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,11,large language model; language model; llm; reasoning; chain-of-thought; prompt; instruction; benchmark; text; question answering; generation,4,1,1,https://openreview.net/pdf/486a0c96d5e7682d42b39e76cc9a96e1024cea19.pdf,code/dataset/prism_iclr2024_sample/pdf/005_Reject_Prompt_Sketching_for_Large_Language_Models.pdf,code/dataset/prism_iclr2024_sample/openreview_json/005_Reject_Prompt_Sketching_for_Large_Language_Models.json,code/dataset/prism_iclr2024_sample/reviews_txt/005_Reject_Prompt_Sketching_for_Large_Language_Models.md,https://openreview.net/forum?id=D0zeqL7Vnz,code/dataset/prism_iclr2024_sample/md_mineru_v4/005_Reject_Prompt_Sketching_for_Large_Language_Models.md,done
gDlsMWost9,gDlsMWost9,5567,Multimodal Chain-of-Thought Reasoning in Language Models,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,11,large language model; language model; llm; rag; reasoning; chain-of-thought; prompt; hallucination; benchmark; text; generation,4,1,1,https://openreview.net/pdf/21b77c8a1d0e8f84d25c6be65736859a17612c29.pdf,code/dataset/prism_iclr2024_sample/pdf/006_Reject_Multimodal_Chain-of-Thought_Reasoning_in_Language_Models.pdf,code/dataset/prism_iclr2024_sample/openreview_json/006_Reject_Multimodal_Chain-of-Thought_Reasoning_in_Language_Models.json,code/dataset/prism_iclr2024_sample/reviews_txt/006_Reject_Multimodal_Chain-of-Thought_Reasoning_in_Language_Models.md,https://openreview.net/forum?id=gDlsMWost9,code/dataset/prism_iclr2024_sample/md_mineru_v4/006_Reject_Multimodal_Chain-of-Thought_Reasoning_in_Language_Models.md,done
cfL8zApofK,cfL8zApofK,2563,LLM-Deliberation: Evaluating LLMs with Interactive Multi-Agent Negotiation Game,Reject,Submitted to ICLR 2024,ICLR.cc/2024/Conference/Rejected_Submission,11,large language model; language model; llm; agent; multi-agent; reasoning; chain-of-thought; prompt; benchmark; evaluation; text,4,1,1,https://openreview.net/pdf/c93aae8145172f3291d943506afb293117b0ed26.pdf,code/dataset/prism_iclr2024_sample/pdf/007_Reject_LLM-Deliberation_Evaluating_LLMs_with_Interactive_Multi-Agent_Negotiation_Game.pdf,code/dataset/prism_iclr2024_sample/openreview_json/007_Reject_LLM-Deliberation_Evaluating_LLMs_with_Interactive_Multi-Agent_Negotiation_Game.json,code/dataset/prism_iclr2024_sample/reviews_txt/007_Reject_LLM-Deliberation_Evaluating_LLMs_with_Interactive_Multi-Agent_Negotiation_Game.md,https://openreview.net/forum?id=cfL8zApofK,code/dataset/prism_iclr2024_sample/md_mineru_v4/007_Reject_LLM-Deliberation_Evaluating_LLMs_with_Interactive_Multi-Agent_Negotiation_Game.md,done
EhrzQwsV4K,EhrzQwsV4K,8334,L2MAC: Large Language Model Automatic Computer for Extensive Code Generation,Accept,ICLR 2024 poster,ICLR.cc/2024/Conference,10,large language model; language model; llm; agent; multi-agent; prompt; instruction; transformer; text; generation,5,1,1,https://openreview.net/pdf/85b60ddd90be827351cfe094c4e8fbcd35267ffe.pdf,code/dataset/prism_iclr2024_sample/pdf/008_Accept_L2MAC_Large_Language_Model_Automatic_Computer_for_Extensive_Code_Generation.pdf,code/dataset/prism_iclr2024_sample/openreview_json/008_Accept_L2MAC_Large_Language_Model_Automatic_Computer_for_Extensive_Code_Generation.json,code/dataset/prism_iclr2024_sample/reviews_txt/008_Accept_L2MAC_Large_Language_Model_Automatic_Computer_for_Extensive_Code_Generation.md,https://openreview.net/forum?id=EhrzQwsV4K,code/dataset/prism_iclr2024_sample/md_mineru_v4/008_Accept_L2MAC_Large_Language_Model_Automatic_Computer_for_Extensive_Code_Generation.md,done
B9klVS7Ddk,B9klVS7Ddk,3743,Compressing LLMs: The Truth is Rarely Pure and Never Simple,Accept,ICLR 2024 poster,ICLR.cc/2024/Conference,10,large language model; language model; llm; retrieval; reasoning; alignment; benchmark; evaluation; text; generation,4,1,1,https://openreview.net/pdf/cc2f613de0889f429642c9f4105fc786dcf6bf7b.pdf,code/dataset/prism_iclr2024_sample/pdf/009_Accept_Compressing_LLMs_The_Truth_is_Rarely_Pure_and_Never_Simple.pdf,code/dataset/prism_iclr2024_sample/openreview_json/009_Accept_Compressing_LLMs_The_Truth_is_Rarely_Pure_and_Never_Simple.json,code/dataset/prism_iclr2024_sample/reviews_txt/009_Accept_Compressing_LLMs_The_Truth_is_Rarely_Pure_and_Never_Simple.md,https://openreview.net/forum?id=B9klVS7Ddk,code/dataset/prism_iclr2024_sample/md_mineru_v4/009_Accept_Compressing_LLMs_The_Truth_is_Rarely_Pure_and_Never_Simple.md,done
FQepisCUWu,FQepisCUWu,1367,ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate,Accept,ICLR 2024 poster,ICLR.cc/2024/Conference,10,large language model; language model; llm; agent; multi-agent; prompt; alignment; benchmark; evaluation; text,5,1,1,https://openreview.net/pdf/6950b70dde4f8d7425424dce9cc4063f505b2194.pdf,code/dataset/prism_iclr2024_sample/pdf/010_Accept_ChatEval_Towards_Better_LLM-based_Evaluators_through_Multi-Agent_Debate.pdf,code/dataset/prism_iclr2024_sample/openreview_json/010_Accept_ChatEval_Towards_Better_LLM-based_Evaluators_through_Multi-Agent_Debate.json,code/dataset/prism_iclr2024_sample/reviews_txt/010_Accept_ChatEval_Towards_Better_LLM-based_Evaluators_through_Multi-Agent_Debate.md,https://openreview.net/forum?id=FQepisCUWu,code/dataset/prism_iclr2024_sample/md_mineru_v4/010_Accept_ChatEval_Towards_Better_LLM-based_Evaluators_through_Multi-Agent_Debate.md,done
